"idelem";"tipo_elem";"cod_cent";"nombre";"st_x";"st_y"
5449;495;"43038";"(TACTICO)Av.Monforte de Lemos E-O(Giro Izqda.Pl.Arteijo)";440217.715481146;4481362.50718482
4733;495;"93016";"Valle de Mena O-E(Valderodrigo-Camino de ganapanes)";439433.748776286;4480375.55244658
5203;495;"28004";"(TACTICO)BARDEGUERAL N-S (GIRO)";434652.356634631;4478371.56835444
5947;495;"45001";"C/. Hermanos García Noblejas - Dr. Cirajas-Vital Aza";446140.193199412;4476479.74271376
6393;495;"64006";"Av. Canillejas a Vicálvaro - María Sevilla Diago-J.Gª. Boutan";448257.637673269;4475934.94869556
3409;495;"24001";"SEPULVEDA N-S(CEBREROS-C.FCO.J. JIMENEZ)";436117.559212214;4472801.2222979
4941;495;"38022";"AV.POBLADOS O-E(TANATORIO-CTRA. TOLEDO)";438856.127504281;4469681.82033246
5772;495;"97021";"Av.Reina Victoria E-O  - Av.Pablo Iglesias -Ibánez Íbero";439996.430328316;4477840.49313969
4948;495;"38030";"E.MONTIJO S-N(POBLADOS-N.S.FATIMA)FRENT";436504.065126815;4470088.46982446
7006;495;"38041";"A.R.SACRISTAN E-O(PARTIDA A.R.-ZARZAMOR)";436731.152671208;4469623.7000672
5747;495;"91005";"Av. Pio XII E-O (Calle 30 - Av. Burgos)";442921.586023172;4480688.98829637
4726;495;"93009";"(TACTICO)Valderodrigo E-O(Valle de Mena-Antonio Machado)";439152.83049977;4480364.7573815
